image_path,emotion,valence,arousal,color,lighting,composition,situation
/kaggle/working/Images/Abstract Art/0006080_YuriZlotnikov-Signalseries.jpg,Calm,Positive,Low,"Warm and cool tones are used with moderate saturation, creating a harmonious contrast.","Soft, even lighting with minimal contrast between light and dark areas.","Dynamic and scattered, with no central focus, giving a sense of movement.","The image features a playful arrangement of colored dots and abstract shapes scattered across a neutral background. The use of vibrant oranges, blues, and blacks offers a lively, rhythmic pattern that catches the eye."
/kaggle/working/Images/Abstract Art/0006185_PaulKlee-GlassFacade.jpg,Excited,Positive,High,"Warm and cool tones intermingle; moderately saturated, offering strong visual contrast.","Minimal shadowing, focused on flat color application, emphasizing color over form.","Dynamic with an irregular grid, providing balanced yet varied structure.","The artwork features a grid of vibrant, geometric shapes in red, blue, green, and orange, bordered by thick black lines. It presents an abstract, dynamic mosaic that creates a rhythmic pattern, engaging the viewer with its contrasting colors."
/kaggle/working/Images/Abstract Art/0006313_WilliBaumeister-PlanarTensionwithRed.jpg,Calm,Positive,Low,"The palette includes warm and cool tones with moderate saturation, creating a harmonious balance with subtle contrast.","There is minimal light and shadow, with flat colors creating uniformity across the image.","The arrangement is dynamic, with a central focus that guides the viewer's eye through the interplay of shapes.","The image features an abstract geometric composition with overlapping rectangles and lines in soft pastels and darker shades. The shapes are arranged vertically and horizontally, creating a structured yet dynamic visual."
/kaggle/working/Images/Abstract Art/0006400_OttoFreundlich-KompositioninSchwarzundWeiß.jpg,Excited,Positive,High,"Dominantly cool tones with stark black and muted beige, creating a high contrast.","High contrast of black against light, enhancing the starkness and definition.",Asymmetrical with a dynamic flow; elements guide the eye in a continuous loop.,"The image features dynamic abstract forms in bold black against a textured pale background. Curved and angular shapes intermingle, creating a sense of movement and rhythm, while linear details add intricate depth."
/kaggle/working/Images/Abstract Art/0006526_AlexejvonJawlensky-VariationFieldofTulips.jpg,Calm,Positive,Low,"A mix of cool and warm tones, with moderate saturation and contrast enhancing depth.","Subtle light sources diffuse across the canvas, with soft contrast between light and dark areas.","Dynamic, with a scattering of shapes that guide the viewer's eye across the piece.","The painting features an array of abstract shapes overlapping in a medley of colors, creating a vibrant and dynamic visual tapestry. Swirling forms engage the eye, conjuring a sense of movement and energy."
/kaggle/working/Images/Abstract Art/0006659_WassilyKandinsky-Picturewithacircle.jpg,Excited,Positive,High,A mix of warm and cool tones; high saturation with a harmonious blend that adds vibrancy.,"Subtle light contrasts with soft transitions, enhancing depth and interplay of colors.","Dynamic and asymmetrical, guiding the eye across varied focal points and interlocking forms.","This abstract painting is a swirling dance of colors and forms, featuring overlapping shapes and bold, dynamic lines. The vibrant palette of blues, yellows, and reds intermingles with softer pastels, creating a sense of movement and energy."
/kaggle/working/Images/Abstract Art/0006969_YiannisMoralis-Composition.jpg,Excited,Positive,High,"Dominated by black and white tones, the color palette is stark with occasional warm reds and yellows, creating high contrast.","The contrast between light and dark is sharp, with no soft transitions, enhancing the geometric arrangement.","The composition is dynamic with interlocking shapes. There's no central focus, leading the eye around the entire canvas.","The image is an abstract painting characterized by geometric shapes such as arcs, lines, and blocks. The use of stark black and white, with a hint of red and yellow, creates a bold visual contrast."
/kaggle/working/Images/Abstract Art/0007008_AmadeodeSouza-Cardoso-BasqueLandscape.jpg,Excited,Positive,High,Cool to warm tones; medium saturation; strong contrast.,Diffused light; sharp light-dark contrast creates depth.,"Dynamic, with fragmented elements leading the eye around.","The image portrays an abstract landscape with geometric shapes and a fragmented house. Various hues of green and blue intertwine with earthy tones. The composition is dynamic, focusing on angular forms and contrasting color segments."
/kaggle/working/Images/Abstract Art/0007129_WassilyKandinsky-TotheUnknownVoice.jpg,Excited,Positive,High,Predominantly warm tones with high saturation; contrast between the soft yellow background and darker foreground elements.,"The light source seems diffused, enhancing the contrast between light and dark areas with soft transitions.","The arrangement is dynamic, with a sense of movement and energy. Central focus is created through converging lines and shapes.","The artwork features a dynamic interplay of abstract shapes, lines, and forms sprawling across a warm yellow background. An amalgam of browns, blacks, and purples converges to form geometric patterns and organic curves."
/kaggle/working/Images/Abstract Art/0007220_AdnanCoker-Untitled.jpg,Calm,Positive,Low,Cool tones with subdued pinks contrast against deep blacks.,Soft glow creates gentle contrasts with the darkness.,"Symmetrical, focusing on balance and proportion.","The image features dark, elongated vertical shapes framed by glowing pink and white hues on a black background. This abstract composition evokes a sense of depth and symmetry, inviting contemplation and introspection."
/kaggle/working/Images/Abstract Art/0007274_ArthurSegal-HarbouronBornholm.jpg,Calm,Positive,Low,"Dominated by warm tones with earthy reds and browns, contrasted by cool blues and grays, offering balanced saturation.","Subdued lighting with soft contrasts creates an atmospheric depth, shrouding forms in mystery.","The composition is dynamic, with shapes interlocking in a balanced yet asymmetrical pattern, drawing the eye across the canvas.","The image presents an abstract landscape, featuring geometric shapes resembling boats and buildings under a dynamic sky. The use of earthy and muted colors gives a somber yet intriguing feel."
